node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
"action::119::in addition, optimal dispatchi",Action,"In addition, optimal dispatching rules for Wuxikou Water Control Scheme will be prepared to achieve maximum flood control and additional benefits, e.g., water supply and hydropower generation.",Mitigation,0.55,0.25,0.33,P_011
action::11::preparation and implementation,Action,"Preparation and Implementation of Two Studies related to EA April 30, 2016 Jingdezhen City to initiate no later than three months after the effectiveness date, and to complete at least six months prio",Mitigation,0.55,0.25,0.33,P_011
action::120::the optimal dispatching rules,Action,The optimal dispatching rules will be incorporated into the decision support system.,Mitigation,0.55,0.25,0.33,P_011
action::121::the sub-component will enable,Action,The sub-component will enable the recruitment of an international consulting firm for the development of the Integrated Flood Risk Management Decision Support System.,Mitigation,0.55,0.25,0.33,P_011
action::122::the sub-component will finance,Action,"The sub-component will finance the design study , and the construction of the Municipal Flood Management and Dispatching Center to facilitate the functioning of the municipal Flood Dispatching Headqua",Mitigation,0.55,0.25,0.33,P_011
action::123::the center will include meetin,Action,"The Center will include meeting rooms and facilities for joint decision making related to flood emergency response, stakeholder consultation, exhibition and public information, warehouse, and office r",Mitigation,0.55,0.25,0.33,P_011
action::124::the center will become a natio,Action,The Center will become a national center of excellence for flood risk management.,Mitigation,0.55,0.25,0.33,P_011
action::125::the sub-component will 1 these,Action,"The sub-component will 1 These interventions are the results of a screening process using the ‘buying-down flood risks’ screening matrix for this project, which is given in the Appendix to Annex 2.",Mitigation,0.55,0.25,0.33,P_011
action::126::the sub-component will provide,Action,"The sub-component will provide funds to procure equipment for the Municipal Flood Control and Dispatching Center to facilitate the functioning of the municipal Flood Dispatching Headquarters, Flood Co",Mitigation,0.55,0.25,0.33,P_011
action::127::the sub-component will provide,Action,"The sub-component will provide training, both on-job-training and specific technical training, and high level technical assistance in modern flood forecast technologies and DSS and overall flood risk ",Mitigation,0.55,0.25,0.33,P_011
action::128::the sub-component will be impl,Action,"The sub-component will be implemented through a consultant, who will prepare a detailed capacity building needs assessment, a training plan, and provide support for its implementation.",Mitigation,0.55,0.25,0.33,P_011
action::129::this sub-component will help r,Action,This sub-component will help raise awareness and engage different interest groups on the risks they face and the steps that they can take to reduce these risks.,Mitigation,0.55,0.25,0.33,P_011
"action::12::in late 2010, the state counci",Action,"In late 2010, the State Council Standing Committee made a decision to prioritize and increase investments to improve planning, prevention, mitigation and response to floods in small and medium-sized r",Mitigation,0.55,0.25,0.33,P_011
action::130::it will include: (i) an educat,Action,"It will include: (i) an education and awareness raising campaign on flood risk management, which will reach all interest groups involved, with a particular attention to leaders and government official",Mitigation,0.55,0.25,0.33,P_011
action::131::particular attention will be p,Action,Particular attention will be paid to ensuring that awareness raising activities take into account the specific needs of women in the community in terms of disaster prevention and response.,Mitigation,0.55,0.25,0.33,P_011
action::132::the rap will be implemented in,Action,The RAP will be implemented in gender-sensitive manner: (a) that consultations with women have been undertaken to understand their requirements in terms of resettlement and especially livelihood resto,Mitigation,0.55,0.25,0.33,P_011
action::133::some measures usually applied,Action,Some measures usually applied are joint titling by husband and wife (where land for land compensation is used) and the requirement that the signature of both spouses is used for access to bank account,Mitigation,0.55,0.25,0.33,P_011
action::134::21 appendix to annex 2 ‘buying,Action,21 Appendix to Annex 2 ‘Buying down’ flood risks - Screening & Prioritizing FRM Interventions from Source to Receptor Management Mechanisms and Tools Key Measure,Mitigation,0.55,0.25,0.33,P_011
action::135::21 appendix to annex 2 ‘buying,Action,21 Appendix to Annex 2 ‘Buying down’ flood risks - Screening & Prioritizing FRM Interventions from Source to Receptor Management Mechanisms and Tools Key Measures Status/Plan Gaps and Actions Needed C,Mitigation,0.55,0.25,0.33,P_011
action::136::low cost and very high benefit,Action,"Low cost and very high benefit, high priority Existing organizations will be evaluated during project preparation and needed changes identified Organizations Include policy and operational levels Floo",Mitigation,0.55,0.25,0.33,P_011
action::137::low cost and very high benefit,Action,"Low cost and very high benefit, high priority Existing policy and regulations will be reviewed during project preparation and necessary actions included under capacity-building activities of the Proje",Mitigation,0.55,0.25,0.33,P_011
action::138::data-sharing arrangements will,Action,Data-sharing arrangements will be reviewed and needed actions taken; 2.,Mitigation,0.55,0.25,0.33,P_011
action::139::flood risk assessment & mappin,Action,"Flood risk assessment & mapping will be included under the Project Some rainfall stations in remote u/s areas, and flow stations on main tributaries to be added via government programs Strategy and Ma",Mitigation,0.55,0.25,0.33,P_011
action::13::each province or municipality,Action,Each province or municipality is required to resolve in five years outstanding issues/problems with weak segments of flood control and disaster mitigation systems in order to safeguard people’s lives ,Mitigation,0.55,0.25,0.33,P_011
action::140::a frm strategy for jdz city wi,Action,A FRM strategy for JDZ City will be reviewed and improved during Project Preparation; 2.,Mitigation,0.55,0.25,0.33,P_011
action::141::a master plan for ifrm in jdz,Action,A Master Plan for IFRM in JDZ City to be upgraded under the Project The Master Planning TA will be linked to the DSS development for FRM under the Project Catchment River watershed Soil and water Very,Mitigation,0.55,0.75,0.33,P_011
action::142::n coverage with little land er,Action,"n coverage with little land erosion in river catchment construction effect on local watershed needs to be managed carefully high benefit, medium priority expected except environmental management plan ",Mitigation,0.55,0.75,0.33,P_011
action::143::high cost and very high benefi,Action,"High cost and very high benefit, high priority due to its critical importance in flood risk reduction The multipurpose Wuxikou reservoir will be financed by the project, with joint operation of tribut",Mitigation,0.65,0.25,1.0,P_011
action::144::programs to further increase p,Action,programs to further increase protection level Flood Retention/detentio n Construction of retention and/or detention basins and ponds A number of lakes and ponds exist in the urban areas Full utilizati,Mitigation,0.65,0.75,1.0,P_011
"action::145::medium costs and benefits, hig",Action,"Medium costs and benefits, high priority Effectiveness of separate storm drainage system and pumping stations will be evaluated as part of the IFRM Master Planning task Construction and upgrading are ",Mitigation,0.55,0.25,0.33,P_011
action::146::power plant) being located awa,Action,power plant) being located away from high risk zone Potential of more natural flood risk reduction and adaptation measures (incl.,Mitigation,0.55,0.45,0.33,P_011
action::147::eco-system enhancement and suc,Action,"eco-system enhancement and such market mechanism as insurance) needs to be explored Relative low and high benefit, relatively high priority Further demand-side management measures will be considered u",Mitigation,0.55,0.25,0.33,P_011
action::148::insurance) needs to be explore,Action,"insurance) needs to be explored Relative low and high benefit, relatively high priority Further demand-side management measures will be considered under the updated Master Plan Training on Green Water",Mitigation,0.55,0.45,0.33,P_011
action::149::damage/loss assessment; the ci,Action,Damage/loss assessment; The city has a functional post- The existing recovery system is in general Essentially; Cost and benefit depends Training will be provided under the 25 Management Mechanisms an,Mitigation,0.55,0.25,0.33,P_011
"action::14::in early 2011, the central gov",Action,"In early 2011, the central government issued its first document on water resources issues entitled “Decisions on Accelerating Water Sector Reform and Development,” which proposed a strategy for establ",Mitigation,0.55,0.25,0.33,P_011
action::150::(a) the project leading group,Action,"(a) The Project Leading Group at the municipal level in Jingdezhen City, chaired by the Vice Mayor of Jingdezhen City and consisting of directors from the line government departments of the City, incl",Mitigation,0.55,0.25,0.33,P_011
action::151::(c) the expert group will prov,Action,(c) The expert Group will provide technical support to the PMO in Project management and implementation.,Mitigation,0.55,0.25,0.33,P_011
action::152::mitigation measures to address,Action,Mitigation measures to address the above risks include: (a) related guidelines and FM/disbursement training will be provided to the PMO and the Bank will provide ad hoc training during project impleme,Mitigation,0.55,0.25,0.33,P_011
action::153::the annual project implementat,Action,"The annual project implementation plan, including the funding budget and resources, will be prepared by the PMO.",Mitigation,0.55,0.25,0.33,P_011
action::154::budget for counterpart funds c,Action,Budget for counterpart funds committed by local government will be reviewed and approved by local People’s Congress and will be included in the sectoral budget.,Mitigation,0.55,0.25,0.33,P_011
action::155::based on the approved budget a,Action,"Based on the approved budget and implementation progress, the related finance bureau will provide government appropriations to the project.",Mitigation,0.55,0.25,0.33,P_011
action::156::budget variance analysis will,Action,Budget variance analysis will be conducted on a semi-annual basis by the PMO and necessary actions will be taken to implement the project as planned.,Mitigation,0.55,0.25,0.33,P_011
action::157::bank loan proceeds will flow f,Action,Bank loan proceeds will flow from the Bank into the project DA to be set up at and managed by JPFB.,Mitigation,0.55,0.25,0.33,P_011
action::158::jpfb will be directly responsi,Action,"JPFB will be directly responsible for the management, maintenance and reconciliation of the DA activities.",Mitigation,0.55,0.25,0.33,P_011
action::159::supporting documents required,Action,Supporting documents required for Bank disbursements will be prepared and submitted by the PMO through Jingdezhen municipal finance bureau (MFB) for review and,Mitigation,0.55,0.25,0.33,P_011
action::15::according to the city’s social,Action,"According to the City’s Social and Economic Development Master Plan, the downtown population will increase from the present 0.48 million to 0.60 million by 2015, to 0.70 million by 2020, and to 1.20 m",Mitigation,0.55,0.25,0.33,P_011
action::160::supporting documents required,Action,Supporting documents required for Bank disbursements will be prepared and submitted by the PMO through Jingdezhen municipal finance bureau (MFB) for review and verification before sending to JPFB for ,Mitigation,0.55,0.25,0.33,P_011
action::161::the reimbursed funds will flow,Action,The reimbursed funds will flow from JPFB to MFB and finally to the PMO or contractors or suppliers.,Mitigation,0.55,0.25,0.33,P_011
"action::162::the administration, accounting",Action,"The administration, accounting and reporting of the project will be set up in accordance with Circular No.13: “Accounting Regulations for World Bank- financed Projects” issued in January 2000 by MOF.",Mitigation,0.55,0.25,0.33,P_011
"action::163::the pmo will manage, monitor a",Action,"The PMO will manage, monitor and maintain project accounting records.",Mitigation,0.55,0.25,0.33,P_011
action::164::the pmo will work with jpfb to,Action,The PMO will work with JPFB to prepare the consolidated project financial statements.,Mitigation,0.55,0.25,0.33,P_011
action::165::the unaudited semi- annual pro,Action,The unaudited semi- annual project interim financial reports (IFRs) in accordance with the aforementioned Circular No.13 agreed with MOF will be furnished to the Bank by the PMO no later than 45 days ,Mitigation,0.55,0.25,0.33,P_011
action::166::annual audit report will be is,Action,Annual audit report will be issued by JPAO.,Mitigation,0.55,0.25,0.33,P_011
action::167::the annual audit report of pro,Action,The annual audit report of project financial statements will be due to the Bank within 6 months after the end of each calendar year.,Mitigation,0.55,0.25,0.33,P_011
action::168::the bank will make them availa,Action,The Bank will make them available to the public in accordance with Bank Policy on Access to Information.,Mitigation,0.55,0.25,0.33,P_011
action::169::the project will have a da in,Action,"The project will have a DA in US dollar, which will be opened at a commercial bank acceptable to the Bank and will be managed by JPFB.",Mitigation,0.55,0.25,0.33,P_011
action::16::the average annual gdp growth,Action,The average annual GDP growth rate will be 13.4% from 2015 to 2020 and 8.8% from 2020 to 2030.,Mitigation,0.55,0.25,0.33,P_011
action::170::retroactive financing will be,Action,"Retroactive financing will be allowed under the project as stipulated in the legal agreement for eligible expenditures, up to an aggregate amount not exceeding US$20 million for payments made up to wi",Mitigation,0.55,0.25,0.33,P_011
action::171::a capacity strengthening and r,Action,"A capacity strengthening and risks mitigation action plan, agreed with the PMO, includes the following measures: (a) procurement training provided by the Bank during project preparation; (b) preparati",Mitigation,0.55,0.25,0.33,P_011
action::172::procurement will be carried ou,Action,"Procurement will be carried out in accordance with the “Guidelines: Procurement of Goods, Works and Non-Consulting Services under IBRD Loans And IDA Credits & Grants by World Bank Borrowers” dated Jan",Mitigation,0.55,0.25,0.33,P_011
action::173::works procured under this proj,Action,"Works procured under this project will include: (a) Construction of Wuxikou flood control scheme - a concrete gravity dam with maximum dam height of 46.8 m and a crest length of 498.62 m, flood handli",Mitigation,0.55,0.25,0.33,P_011
action::174::consulting services will inclu,Action,"Consulting services will include: (a) integrated urban flood risk management strategy for Jingdezhen city; and (b) development of an integrated flood management decision supporting system, etc.",Mitigation,0.55,0.25,0.33,P_011
action::175::plans for training and worksho,Action,"Plans for training and workshops will be developed by the PMO, and included in annual project work plan.",Mitigation,0.55,0.25,0.33,P_011
action::176::expenditures incurred in accor,Action,Expenditures incurred in accordance with the approved plans for training and workshops will be the basis for reimbursement.,Mitigation,0.55,0.25,0.33,P_011
action::177::it will be made available in t,Action,It will be made available in the project’s database and on the Bank’s external website.,Mitigation,0.55,0.25,0.33,P_011
action::178::the procurement plan will be u,Action,The procurement plan will be updated annually or as required to reflect implementation needs and improvements in institutional capacity.,Mitigation,0.55,0.25,0.33,P_011
action::179::prior review supervision will,Action,Prior review supervision will be carried out through the World Bank office in Beijing.,Mitigation,0.55,0.25,0.33,P_011
action::17::thus jingdezhen city will deve,Action,"Thus Jingdezhen City will develop rapidly in the near future, and economic losses from a big flood event will increase significantly unless the city’s flood management capacity is enhanced.",Mitigation,0.55,0.25,0.33,P_011
action::180::procurement post reviews will,Action,Procurement post reviews will be carried out by the Bank every 12 months.,Mitigation,0.55,0.25,0.33,P_011
action::181::the procurement post review sa,Action,The procurement post review sampling ratio will be one out of,Mitigation,0.55,0.25,0.33,P_011
action::182::will be carried out through th,Action,will be carried out through the World Bank office in Beijing.,Mitigation,0.55,0.25,0.33,P_011
action::183::the procurement post review sa,Action,The procurement post review sampling ratio will be one out of five contracts.,Mitigation,0.55,0.25,0.33,P_011
action::184::these contracts are included i,Action,These contracts are included in the procurement plan and will be subject to prior review.,Mitigation,0.55,0.25,0.33,P_011
action::185::these documents provide backgr,Action,"These documents provide background and technical information on expected impacts of the project; mitigation and compensation measures proposed; implementation arrangements, including institutional res",Mitigation,0.55,0.75,0.33,P_011
action::186::hnical information on expected,Action,"hnical information on expected impacts of the project; mitigation and compensation measures proposed; implementation arrangements, including institutional responsibilities, budgets and timelines; and ",Mitigation,0.55,0.75,0.33,P_011
action::187::construction of the dam and an,Action,Construction of the dam and ancillary infrastructure will cause potentially significant negative impacts on nearby villages and surrounding environment and 32 aquatic habitats.,Mitigation,0.65,0.25,1.0,P_011
action::188::environmental and social speci,Action,Environmental and social specifications will be included in all bidding documents and contracts.,Mitigation,0.55,0.25,0.33,P_011
action::189::traffic management during cons,Action,Traffic management during construction will require strict controls to minimize disturbance to local villages.,Mitigation,0.55,0.25,0.33,P_011
action::18::many flood control structures,Action,"Many flood control structures along small and medium sized rivers are poorly maintained, and measures to 2 effectively respond to regular flooding are absent.",Mitigation,0.55,0.25,0.33,P_011
action::190::training will be provided to w,Action,Training will be provided to workers and local people on protection of nature reserves.,Mitigation,0.55,0.25,0.33,P_011
action::191::annual downstream flows will n,Action,"Annual downstream flows will not change much, although the reservoir operation will equalize the natural stream flow during the year to some extent.",Mitigation,0.55,0.25,0.33,P_011
action::192::minimum flow (15m 3/s) will be,Action,Minimum flow (15m 3/s) will be guaranteed to provide sufficient water for downstream users as well as for ecological functions during the impounding period and the operation stage.,Mitigation,0.55,0.25,0.33,P_011
action::193::temperature monitoring is incl,Action,"Temperature monitoring is included in the ESMP, based on which the project proponent will develop concrete management measures.",Mitigation,0.55,0.25,0.33,P_011
action::194::the project will not have sign,Action,"The project will not have significant impacts on the downstream Poyang Lake, as the annual flow of Changjiang River only accounts for 2%-3% of the total flows into the Poyang Lake.",Mitigation,0.65,0.25,1.0,P_011
action::195::these impacts are manageable w,Action,These impacts are manageable with the implementation of the mitigation measures and the monitoring plan in the ESMP.,Mitigation,0.55,0.25,0.33,P_011
action::196::the water quality model shows,Action,"The water quality model shows that in 2015 the reservoir’s COD, NH 3-N, TP will be 9.27mg/L, 0.084 mg/L, and 0.01mg/L respectively, meeting Class II standard (i.e., water suitable for use as a drinkin",Mitigation,0.55,0.25,0.33,P_011
action::197::the inundation of the reservoi,Action,"The inundation of the reservoir, relocation of ~20km railway, construction sites, and the resettlement sites will affect 662 ha of secondary forest.",Mitigation,0.55,0.25,0.33,P_011
action::198::the project will not have any,Action,The project will not have any significant impacts on critical forest areas or critical natural habitats.,Mitigation,0.65,0.25,1.0,P_011
action::199::the reservoir will reduce the,Action,"The reservoir will reduce the habitat for terrestrial animals, though the expanded water surface will benefit some species such as frogs, mandarin ducks, and otters, and possibly attract more birds to",Mitigation,0.55,0.25,0.33,P_011
action::19::these issues and challenges wi,Action,These issues and challenges will have to be dealt with during the implementation of the national strategy.,Mitigation,0.55,0.25,0.33,P_011
action::1::document of the world bank for,Action,Document of The World Bank FOR OFFICIAL USE ONLY Report No: 74403-CN INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT PROJECT APPRAISAL DOCUMENT ON A PROPOSED LOAN IN THE AMOUNT OF US$100 MILLION,Mitigation,0.55,0.45,0.33,P_011
action::200::to minimize potential adverse,Action,"To minimize potential adverse impacts, natural habitat patrols will be reinforced and the project will promote public education on wildlife protection.",Mitigation,0.55,0.45,0.33,P_011
action::201::once construction is completed,Action,"Once construction is completed, the long term impacts on aquatic habitats and fish species will occur.",Mitigation,0.55,0.25,0.33,P_011
action::202::rapids and shallow areas upstr,Action,"Rapids and shallow areas upstream, which may be favored by some species, will be permanently submerged.",Mitigation,0.55,0.45,0.33,P_011
action::203::the change in river morphology,Action,"The change in river morphology will affect or displace some economic fish species which are not able to adapt to the new conditions; however, analysis has shown that most of the fish species can adapt",Mitigation,0.55,0.25,0.33,P_011
action::204::the inundation will affect a r,Action,"The inundation will affect a river segment which was designated by Jiangxi Agriculture Bureau for the conservation of economic fish species, mainly Barbodes.",Mitigation,0.55,0.25,0.33,P_011
action::205::as a measure to restore econom,Action,"As a measure to restore economic fish resources, the government has declared an 88.82 km river segment downstream of the dam as a conservation area to protect fish species such as Barbodes.",Mitigation,0.55,0.25,0.33,P_011
"action::206::accordingly, mitigation measur",Action,"Accordingly, mitigation measures, such as joint operation of cascade development, habitat protection, artificial fis",Mitigation,0.55,0.25,0.33,P_011
"action::207::accordingly, mitigation measur",Action,"Accordingly, mitigation measures, such as joint operation of cascade development, habitat protection, artificial fish pass, strengthened fishery administration, artificial fish multiplication, have be",Mitigation,0.55,0.25,0.33,P_011
action::208::pcr surveys and public consult,Action,PCR surveys and public consultation by local cultural relics agencies and EA consultants show that PCRs which will be affected include:(a) a county level historical site (a Qing dynasty building used ,Mitigation,0.55,0.25,0.33,P_011
action::209::water level of the reservoir w,Action,Water level of the reservoir will be changed from Elevation 56 m (1:50 return) to Elevation 50 m during the flood season each year.,Mitigation,0.55,0.25,0.33,P_011
action::20::eparate and on-going governmen,Action,eparate and on-going government program which includes construction of dikes along river sections within the City to upgrade flood protection standard from a 10-year flood event to a 20-year flood eve,Mitigation,0.55,0.25,0.33,P_011
"action::210::mitigation measures (e.g., veg",Action,"Mitigation measures (e.g., vegetation protection) have been included in the ESMP.",Mitigation,0.55,0.25,0.33,P_011
action::211::the changjiang river carries l,Action,The Changjiang River carries little sand (0.082 kg/m 3) and most of the sand will come into the river during the flood season and will be discharged downstream.,Mitigation,0.55,0.25,0.33,P_011
action::212::nd will come into the river du,Action,nd will come into the river during the flood season and will be discharged downstream.,Mitigation,0.55,0.25,0.33,P_011
action::213::to the maximum extent feasible,Action,"To the maximum extent feasible, people will resettle within their traditional territories to minimize adverse social impacts.",Mitigation,0.55,0.25,0.33,P_011
action::214::each 34 resettlement site will,Action,"Each 34 resettlement site will be provided with adequate infrastructure, e.g., rural roads, water, electricity, roads, and waste management and sanitation facilities.",Mitigation,0.55,0.25,0.33,P_011
"action::215::in addition, zhitan town will",Action,"In addition, Zhitan town will be submerged and residents and businesses will need to be relocated to a new site.",Mitigation,0.55,0.25,0.33,P_011
action::216::mitigation measures have been,Action,Mitigation measures have been included in the ESMP to avoid these adverse impacts: (a) proper siting and design; (b) buffer distance from the surrounding reserves; (c) training and awareness building ,Mitigation,0.55,0.25,0.33,P_011
action::217::though the project will neithe,Action,"Though the project will neither finance procurement of pesticides nor equipment for pesticides application, the management of pesticides and other hazardous chemicals is included in the ESMP through a",Mitigation,0.55,0.25,0.33,P_011
"action::218::it proposes measures (e.g., aq",Action,"It proposes measures (e.g., aquatic habitats protection) to address identified cumulative impacts, including a Comprehensive Reservoir Management Plan study and the second phase of cumulative impact a",Mitigation,0.55,0.25,0.33,P_011
action::219::access roads will be built for,Action,"Access roads will be built for the project, with potential impacts such as soil erosion, slope instability, dust, traffic safety, and increased access to nature reserves.",Mitigation,0.55,0.45,0.33,P_011
action::21::the wuxikou flood control sche,Action,"The Wuxikou Flood Control Scheme on the Changjiang River, which will provide necessary flood protection to Jingdezhen City, is the focus of the proposed project.",Mitigation,0.55,0.25,0.33,P_011
"action::220::in addition, a ~20km 110 kv tr",Action,"In addition, a ~20km 110 kV transmission line will be built from Wuxikou to a 220 kV substation located in Fuliang County.",Mitigation,0.55,0.25,0.33,P_011
action::221::the installation of transmissi,Action,The installation of transmission line will not affect any critical habitat.,Mitigation,0.65,0.25,1.0,P_011
action::222::mitigation measures have been,Action,Mitigation measures have been included in the ESMP.,Mitigation,0.55,0.25,0.33,P_011
action::223::the reservoir will flood a 19.,Action,The reservoir will flood a 19.51 km segment of Anhui-Jiangxi Railway.,Mitigation,0.55,0.25,0.33,P_011
action::224::a 22.5 km alignment will be re,Action,A 22.5 km alignment will be rebuilt along the edge of the reservoir.,Mitigation,0.55,0.25,0.33,P_011
action::225::the project will compensate th,Action,The project will compensate the railway relocation.,Mitigation,0.55,0.25,0.33,P_011
action::226::the ministry of railways will,Action,The Ministry of Railways will undertake the relocation in compliance with the ESMP to mitigate these construction-related impacts.,Mitigation,0.55,0.25,0.33,P_011
action::227::the project has developed an e,Action,The project has developed an emergency plan to mitigate and manage these risks.,Mitigation,0.55,0.25,0.33,P_011
action::228::the esmp describes the measure,Action,"The ESMP describes the measures needed to minimize, mitigate or compensate for expected environmental impacts of the project.",Mitigation,0.55,0.75,0.33,P_011
action::229::mitigation measures will addre,Action,"Mitigation measures will address impacts from workers camp and work force, health and safety issues, air and noise, borrow pits, disposal sites, physical cultural resources (including chance finds dur",Mitigation,0.55,0.25,0.33,P_011
action::22::the proposed jiangxi wuxikou i,Action,"The proposed Jiangxi Wuxikou Integrated Flood Management Project (the Project) is aligned with the Bank’s China Country Partnership Strategy (FY13-16 discussed by the board on November 6, 2012), and i",Mitigation,0.55,0.25,0.33,P_011
action::230::es (including chance finds dur,Action,"es (including chance finds during construction), and compensatory measures for natural habitats, fish, among many others.",Mitigation,0.55,0.25,0.33,P_011
action::231::the esmp defines institutional,Action,"The ESMP defines institutional responsibilities for the implementation of mitigation measures, and proposes capacity building activities (including training and technical assistance) and an adequate b",Mitigation,0.55,0.25,0.33,P_011
action::232::the esmp specifies the followi,Action,The ESMP specifies the following major mitigation measures: • Environmental Specifications for Contractors.,Mitigation,0.65,0.25,1.0,P_011
action::233::environmental specifications w,Action,"Environmental specifications will be included in all bidding documents and contracts for construction activities, including management of wastes, slope stability, erosion control, burrow pits, control",Mitigation,0.55,0.25,0.33,P_011
action::234::as an offset to impacts on fis,Action,"As an offset to impacts on fish resources, a fish breeding station will be established.",Mitigation,0.55,0.25,0.33,P_011
"action::235::300,000 young fish will be rel",Action,"300,000 young fish will be released in the river each year, and evaluation of this activity will be undertaken by qualified scientific institution(s).",Mitigation,0.55,0.25,0.33,P_011
"action::236::to improve fish diversity, fis",Action,"To improve fish diversity, fish pass measure-trapping and transportation will be implemented.",Mitigation,0.55,0.25,0.33,P_011
action::237::professional fishers will be o,Action,Professional fishers will be organized to trap 0.5-1.0 ton/year of fish downstream and release them upstream of the reservoir.,Mitigation,0.55,0.25,0.33,P_011
action::238::a monitoring program for fish,Action,A monitoring program for fish resources will be carried out to evaluate the effectiveness of these measures.,Mitigation,0.55,0.25,0.33,P_011
action::239::as compensation for the loss o,Action,"As compensation for the loss of vegetation and forest, re-vegetation and tree planting on un-forested sites will be carried out.",Mitigation,0.55,0.25,0.33,P_011
action::23::the government will finance th,Action,The government will finance the city dikes and other dykes along the river downstream of the Wuxikou Flood Control Scheme.,Mitigation,0.55,0.25,0.33,P_011
action::240::a compensation fee will be pai,Action,"A compensation fee will be paid to the local forestry agency for reforestation, where appropriate.",Mitigation,0.55,0.25,0.33,P_011
"action::241::ation and forest, re-vegetatio",Action,"ation and forest, re-vegetation and tree planting on un-forested sites will be carried out.",Mitigation,0.55,0.25,0.33,P_011
action::242::training and awareness dissemi,Action,Training and awareness dissemination will be promoted for natural habitat protection.,Mitigation,0.55,0.25,0.33,P_011
action::243::regulation of natural habitats,Action,Regulation of natural habitats will be reinforced to prevent wildlife poaching.,Mitigation,0.55,0.25,0.33,P_011
